1-8	Acyclovir
56647-1	Phenol/Creatinine; Urine
5664-8	Heavy Metals Negative; Urine
56648-9	Phenylglyoxylate/Creatinine; Urine
56649-7	Hippurate/Creatinine; Urine
56650-5	Chromium/Creatinine; Urine
56651-3	Cadmium/Creatinine; Urine
56652-1	Arsenic/Creatinine; Urine
56653-9	Mercury/Creatinine; Urine
56654-7	Nickel/Creatinine; Urine
5665-5	Indium; Blood
56655-4	Bromide/Creatinine; Urine
56656-2	Fluoride/Creatinine; Urine
56657-0	Tetrahydrocortisone; Urine
56658-8	Delta aminolevulinate/Creatinine; Urine
56659-6	Para aminophenol/Creatinine; Urine
56660-4	Methyl formamide/Creatinine; Urine
56661-2	Myelin basic protein
56662-0	Beta-2-Microglobulin; Urine
5666-3	Indium; Urine
56663-8	5-Hydroxytryptophan; Urine
56664-6	Methylmalonate/Creatinine; Urine
56665-3	Taenia solium antibody IgG
56666-1	1-Methylhistidine/Creatinine; Urine
56667-9	3-Methylhistidine/Creatinine; Urine
56668-7	Alpha aminoadipate/Creatinine; Urine
56669-5	Carotene alpha
56670-3	Adrenal cortex IgG
5667-1	Isopropanol; Blood
56671-1	Alanine/Creatinine; Urine
56672-9	Arginine/Creatinine; Urine
56673-7	Beta aminoisobutyrate/Creatinine; Urine
56674-5	Beta alanine/Creatinine; Urine
56675-2	Carnosine/Creatinine; Urine
56676-0	Citrulline/Creatinine; Urine
56677-8	Cystine/Creatinine; Urine
56678-6	Ethanolamine/Creatinine; Urine
56679-4	Gamma aminobutyrate/Creatinine; Urine
56680-2	Glutamine/Creatinine; Urine
56681-0	Glycine/Creatinine; Urine
56682-8	Homocystine/Creatinine; Urine
56683-6	Histidine/Creatinine; Urine
56684-4	Hydroxylysine/Creatinine; Urine
56685-1	Hydroxyproline free
56686-9	Hydroxyproline free/Creatinine; Urine
56687-7	Pancreatic islet cell IgG
56688-5	IgD
5668-9	Isopropanol
56689-3	Isoleucine/Creatinine; Urine
56690-1	Insulin 16h post XXX challenge
56691-9	Insulin 20h post XXX challenge
56692-7	Insulin 1d post XXX challenge
56693-5	SCL-70 extractable nuclear antibody
56694-3	Chicken droppings antibody
56695-0	Cephalexin IgE
56696-8	Cloxacillin IgE
5669-7	Isopropanol
56697-6	Thiopental IgE
56698-4	Atropine IgE
56699-2	Bupivacaine IgE
56700-8	Naproxen IgE
56701-6	Diclofenac IgE
56702-4	Ciprofloxacin IgE
56703-2	Piroxicam IgE
56704-0	Droperidol IgE
5670-5	Isopropanol; Urine
56705-7	Tobramycin IgE
56706-5	Doxycycline IgE
56707-3	Spiramycin IgE
56708-1	Metronidazole IgE
56709-9	Tartrazine IgE
56710-7	Clarithromycin IgE
56711-5	Sodium benzoate IgE
56712-3	Dexamethasone IgE
5671-3	Lead; Blood
56713-1	Dog dander+Dog epithelium IgE
56714-9	Bacteria
56715-6	Bacteria
56716-4	Nuclear pore protein gp210 antibody
56717-2	Histone antibody
56718-0	Islet cell 512 antibody
56719-8	Liver cytosol antibody
56720-6	Ma+Ta antibody
56721-4	PM-SCL extractable nuclear antibody
56722-2	Soluble liver antibody
56723-0	Ribonucleoprotein extractable nuclear antibody
56724-8	Sjogrens syndrome-A extractable nuclear antibody
56725-5	Sjogrens syndrome-B extractable nuclear antibody
56726-3	Lolium perenne recombinant profilin IgE
56727-1	Olea europaea recombinant profilin IgE
56728-9	Thermoactinomyces vulgaris IgE
56729-7	Cladosporium cladosporioides IgE
56730-5	Smith extractable nuclear antibody
56731-3	Jo-1 extractable nuclear antibody
56732-1	Ribosomal P antibody
56733-9	PCNA extractable nuclear antibody
56734-7	Centromere protein B antibody
56735-4	Mitochondria M2 antibody
56736-2	Purkinje cells antibody; CSF
56737-0	Ganglioside GM2 IgG
56738-8	Ganglioside GM2 IgM
5673-9	Lead; Hair
56739-6	Ganglioside GD1b IgG
56740-4	Ganglioside GD1b IgM
56741-2	Ganglioside GQ1b IgG
56742-0	Ganglioside GQ1b IgM
56743-8	Mi-2 antibody
56744-6	Pl-7 antibody
56745-3	Pl-12 antibody
56746-1	Allium ampeloprasum IgE
5674-7	Lead; RBC
56747-9	Azithromycin IgE
56748-7	Norovirus RNA
56749-5	Estradiol 30m post XXX challenge
56750-3	Estradiol 1h post XXX challenge
56751-1	Glucose 2 17h post XXX challenge
56752-9	APOB gene+LDLR gene mutation analysis; Blood/Tissue
56753-7	PML antibody
5675-4	Lead; Urine
56754-5	sp100 antibody
56755-2	Aldosterone 100m post XXX challenge
56756-0	Aldosterone 70m post XXX challenge
56757-8	Renin 100m post XXX challenge; Plasma
56758-6	Renin 70m post XXX challenge; Plasma
56760-2	Liver kidney microsomal antibody
56761-0	Saccharomyces cerevisiae antibody
5676-2	Lead; Urine
56762-8	Protein fractions oligoclonal bands IgG
56763-6	Protein fractions oligoclonal bands IgM
56764-4	Protein fractions oligoclonal bands IgG; CSF
56765-1	Protein fractions oligoclonal bands IgM; CSF
56766-9	Protein monoclonal band 1/Protein total
56767-7	Protein monoclonal beta; Urine
56768-5	Protein monoclonal beta/Protein total; Urine
56769-3	Lymphocytes/100 leukocytes; Bronchial
5677-0	Lead; 24h Urine
56770-1	Neutrophils/100 leukocytes; Bronchial
56771-9	Eosinophils/100 leukocytes; Bronchial
56772-7	Macrophages/100 leukocytes; Bronchial
56773-5	Cells CD1a/100 cells; Bronchial
56774-3	Lymphocytes/100 leukocytes; Tissue
56775-0	Cells CD3-CD16+CD56+; Tissue
56776-8	Amylase S3+S4/Amylase total
56777-6	Lipoprotein pre-beta/Lipoprotein beta
56778-4	Articaine IgE
56779-2	Ascorbate; Semen
567-8	Diphtheria species
56780-0	CYP21A2 gene mutations tested for; Blood/Tissue
56781-8	(Canary feather+Parakeet feather+Parrot feather) IgE
56782-6	Amylase S4/Amylase total
56783-4	Trichloroethane; Blood
56784-2	Fibrinogen fragments; Urine
56785-9	Saccharomyces cerevisiae antibody
56786-7	Beta-2-Microglobulin tumor marker
56787-5	Cytokeratin 19; Urine
5678-8	Lysergate Diethylamide
56788-3	Insulin 28h post XXX challenge
56789-1	Insulin 32h post XXX challenge
56790-9	Insulin 36h post XXX challenge
56791-7	Entecavir
56792-5	Telbivudine
5679-6	Lysergate Diethylamide; Urine
5680-4	Malathion
5681-2	Manganese; Blood
5682-0	Manganese; RBC
5683-8	Manganese
5684-6	Manganese; Urine
5685-3	Mercury; Blood
568-6	Culture
5686-1	Mercury; Hair
56877-4	Mepivacaine IgE
56878-2	Phenylbutazone IgE
5687-9	Mercury
56879-0	Lactose IgE
56880-8	TCRB gene+TCRD gene+TCRG gene rearrangements; Blood
56881-6	Rickettsia typhi antibody IgG
56882-4	Parietaria judaica recombinant profilin IgE
56883-2	BCHE gene mutation analysis; Blood/Tissue
56884-0	Somatotropin 160m post exercise
56885-7	Somatotropin 3h post exercise
56886-5	Indirect antiglobulin test XXX reagent
5688-7	Mercury; Urine
56887-3	Myoglobin
56888-1	HIV 1+2 antibody+HIV1 p24 antigen
56889-9	Cells CD13+HLA-DR+/100 cells; Tissue
56890-7	Cells CD13+HLA-DR+/100 cells; Aspirate
56891-5	Cells CD13+HLA-DR+/100 cells; Lymph node FNA
56892-3	Cells CD13+HLA-DR+/100 cells; Blood
56893-1	Cells CD13+HLA-DR+/100 cells; Body Fluid
56894-9	Cells CD13+HLA-DR+/100 cells; CSF
5689-5	Mercury; Urine
56895-6	Cells CD13+HLA-DR+/100 cells; Bone marrow
56896-4	Cells CD33+CD34+/100 cells; Bone marrow
56897-2	Cells CD3-CD56+/100 cells; CSF
56898-0	Cells CD5+FMC7+/100 cells; Tissue
56899-8	Cells CD5+FMC7+/100 cells; Bone marrow
56900-4	Cells terminal deoxyribonucleotidyl transferase/100 cells; CSF
56901-2	Amino acid pattern; Body Fluid
56902-0	Amylase/Creatinine; Urine
5690-3	Methanol; Blood
56903-8	AnSerumine/Creatinine; Urine
56904-6	APOE gene mutation analysis; Blood
56905-3	Bilirubin glucuronidated+Bilirubin albumin bound; Plural Fluid
56906-1	Bilirubin glucuronidated+Bilirubin albumin bound; Periton Fluid
56907-9	Cells CD3+CD45+/100 cells; Blood
56908-7	Cells CD3+CD8+CD45+/100 cells; Blood
56909-5	Chlamydia species antibody IgG
56910-3	Chlamydia species antibody IgG 1st specimen
5691-1	Methanol; Breath
56911-1	Chlamydia species antibody IgG 2nd specimen
56912-9	Cholesterol; Pericardial Fluid
56913-7	Corticotropin morning specimen; Plasma
56914-5	Corticotropin evening specimen; Plasma
56915-2	Coxiella burnetii antibody IgG
56916-0	Coxiella burnetii antibody IgM 2nd specimen
56917-8	Coxiella burnetii antibody IgM
56918-6	Coxiella burnetii antibody IgM 1st specimen
56919-4	Coxiella burnetii antibody IgG 2nd specimen
56920-2	Coxiella burnetii antibody IgG 1st specimen
56921-0	Entamoeba histolytica antibody
56922-8	Entamoeba histolytica antibody IgG
56923-6	Fasciola hepatica antibody
56924-4	Fasciola hepatica antibody
56925-1	Fractional excretion of phosphate; Urine+Serum
56926-9	Hepatitis C virus c1 antibody
56927-7	Hepatitis C virus c2 antibody
56928-5	Hepatitis C virus E2 antibody
5692-9	Methanol
56929-3	Hepatitis C virus NS3 antibody
56930-1	Hepatitis C virus NS4 antibody
56931-9	Hydrogen/Expired gas pre dose lactulose; Exhaled Gas
56932-7	Hydrogen/Expired gas 1h post dose lactulose; Exhaled Gas
56933-5	Hydrogen/Expired gas 2h post dose lactulose; Exhaled Gas
56934-3	Hydrogen/Expired gas 2.5h post dose lactulose; Exhaled Gas
56935-0	Hydrogen/Expired gas 3.5h post dose lactulose; Exhaled Gas
56936-8	Hydrogen/Expired gas 1.5h post dose lactulose; Exhaled Gas
5693-7	Methanol
56937-6	Hydrogen/Expired gas 30m post dose glucose; Exhaled Gas
56938-4	Hydrogen/Expired gas 30m post dose lactulose; Exhaled Gas
56939-2	Hydroxyproline/Creatinine; Urine
569-4	Culture
56940-0	Inhibin B
56941-8	Insulin 8h post XXX challenge
56942-6	Insulin 64h post XXX challenge
56943-4	Insulin 68h post XXX challenge
56944-2	Insulin 3d post XXX challenge
5694-5	Methanol; Urine
56945-9	Insulin 56h post XXX challenge
56946-7	Insulin 2d post XXX challenge
56947-5	Insulin 60h post XXX challenge
56948-3	Insulin 44h post XXX challenge
56949-1	Insulin 40h post XXX challenge
56950-9	Legionella pneumophila antibody IgG 2nd specimen
56951-7	Leishmania species antibody IgG
5695-2	Methanol; Urine
56952-5	Leptospira interrogans antibody
56953-3	Leptospira interrogans antibody IgM
56954-1	Leucine/Creatinine; Urine
56955-8	Lysine/Creatinine; Urine
56956-6	Magnesium/Creatinine; Urine
56957-4	Methionine/Creatinine; Urine
56958-2	Mycoplasma pneumoniae antibody IgG 1st specimen
56959-0	Neuronal nuclear type 2 antibody; CSF
5696-0	Molybdenum; Blood
56960-8	Neutrophils segmented/100 leukocytes; Bone marrow
56961-6	Nicotinamide
56962-4	Ovary IgG
56963-2	pH; Saliva
56964-0	Phosphate/Creatinine; Urine
56965-7	Phosphate/Creatinine; Urine
56966-5	Phosphoethanolamine/Creatinine; Urine
56967-3	Plasmodium falciparum antibody
56968-1	Plasmodium species antibody
56969-9	Polistes subspecies IgG4
56970-7	Porphyrins; Urine
56971-5	Potassium/Creatinine; Urine
56972-3	Prolactin post precipitation
56973-1	Proline/Creatinine; Urine
56974-9	Protein fractions oligoclonal bands
56975-6	Renin upright+30m post XXX challenge; Plasma
56976-4	Renin upright+1h post XXX challenge; Plasma
56977-2	Rheumatoid arthritis nuclear antibody
5697-8	Molybdenum; Hair
56978-0	Serumotonin; Urine
56979-8	Sodium; Saliva
56980-6	Sodium/Creatinine; Urine
56981-4	Somatotropin 30m post resting
56982-2	Somatotropin 90m post resting
56983-0	Somatotropin 1h post resting
56984-8	Taenia solium larva antibody
56985-5	Taurine/Creatinine; Urine
5698-6	Molybdenum
56986-3	Thyroxine free 1h post XXX challenge
56987-1	Thyroxine free 40m post XXX challenge
56988-9	Thyroxine free 1.5h post XXX challenge
56989-7	Thyroxine free 20m post XXX challenge
56990-5	Toxoplasma gondii antibody IgG avidity
56991-3	Toxoplasma gondii antibody IgG avidity
56992-1	Trichinella species antibody IgG
56993-9	Tryptophan/Creatinine; Urine
5699-4	Molybdenum; Urine
56994-7	Tyrosine/Creatinine; Urine
56995-4	Urea; Plural Fluid
56996-2	Urea/Creatinine; Urine
56997-0	Urea/Creatinine
56998-8	Valine/Creatinine; Urine
56999-6	Vespa crabro IgG4
57-0	Capreomycin
5700-0	Nickel; Blood
57000-2	Vespula subspecies IgG4
57001-0	Yersinia species antibody IgA
57002-8	11-Deoxycortisol 4d post XXX challenge
57003-6	17-Hydroxyprogesterone 4h post XXX challenge
57004-4	Glucose/Creatinine; Urine
57005-1	Glutathione
57006-9	Hepatitis C virus antibody IgG
57007-7	Insulin 52h post XXX challenge
57008-5	Legionella pneumophila antibody IgG 1st specimen
57009-3	Mycoplasma pneumoniae antibody IgG 2nd specimen
57010-1	Nuclear antibody; Plural Fluid
57011-9	Ornithine/Creatinine; Urine
57012-7	Osteoblasts/100 cells; Bone marrow
57013-5	Phosphoserine/Creatinine; Urine
57014-3	Iron/Creatinine; Urine
57015-0	Lactulose PO; Dose
5701-8	Nickel; Hair
57018-4	Hydrogen/Expired gas 3h post dose lactulose; Exhaled Gas
570-2	Culture
5702-6	Nickel
57028-3	Iron; Liver
57029-1	Chromosome 13+18+21+X+Y aneuploidy; Tissue fetus
57030-9	Chromosome 13+18+21+X+Y aneuploidy; Blood
57032-5	Treponema pallidum antibody
57033-3	Alternaria alternata antibody
5703-4	Nickel; 24h Stool
57034-1	Penicillium species antibody
57035-8	Cow milk antibody
57036-6	Phadiatop inhalant allergen IgE
57037-4	Chromosome 13+18+21+X+Y aneuploidy; Amniotic Fluid
57038-2	Chromosome 12 aneuploidy; Amniotic Fluid
5704-2	Nickel; Urine
5705-9	Nickel; 24h Urine
5706-7	Opiates; Urine
5708-3	Paraquat; Blood
57089-5	Eosinophil cationic protein; Nasal Fluid
57090-3	HLA-DQA1*0501; Blood
5709-1	Paraquat
57091-1	HLA-DQB1*0201; Blood
57092-9	IgE; Nasal fluid
57093-7	Cyclic citrullinated peptide IgA+IgG
57094-5	Phenol  adjusted to specific gravity 1.024; Urine
57095-2	Anidulafungin
57096-0	HPA 1a-1a+HPA 3a-3a; Blood
57097-8	Follitropin 10m pre dose gonadotropin releasing hormone
57098-6	Follitropin 1.5h post dose gonadotropin releasing hormone
57099-4	Follitropin 1h post dose gonadotropin releasing hormone
571-0	Culture
57100-0	Follitropin 30m post dose gonadotropin releasing hormone
57101-8	Follitropin 20m post dose gonadotropin releasing hormone
57102-6	Lutropin 2h post dose gonadotropin releasing hormone
57103-4	Lutropin 1.5h post dose gonadotropin releasing hormone
57104-2	Lutropin 1h post dose gonadotropin releasing hormone
57105-9	Lutropin 30m post dose gonadotropin releasing hormone
57106-7	Lutropin 20m post dose gonadotropin releasing hormone
57107-5	Lutropin 10m pre dose gonadotropin releasing hormone
5710-9	Pentachlorophenol
5711-7	Pentachlorophenol; Urine
57131-5	Newborn conditions with positive markers; Blood Filter Paper
57132-3	CYP2C19 gene mutation analysis; Blood/Tissue
5713-3	Platinum; Hair
5714-1	Platinum
5715-8	Platinum; Urine
5716-6	Polychlorinated Biphenyl
5717-4	Polychlorinated Biphenyl; Urine
57180-2	Neisseria gonorrhoeae DNA
57181-0	Lupus anticoagulant neutralization - dilute phospholipid/Lupus anticoagulant neutralization - high phospholipid; Platelet Poor Plasma
5718-2	Rubidium; Blood
57182-8	HIV 1 tropism
5719-0	Rubidium; Hair
5720-8	Rubidium
5721-6	Rubidium; Urine
5722-4	Selenium; Blood
5723-2	Selenium; RBC
5724-0	Selenium
5725-7	Selenium; Tissue Unspecified
5726-5	Selenium; Urine
5727-3	Selenium; 24h Urine
572-8	Culture
5728-1	Silicon; Blood
57287-5	Chlamydia trachomatis rRNA
57288-3	Chlamydia trachomatis rRNA
57289-1	Neisseria gonorrhoeae rRNA
57290-9	HLA-A; Blood
57291-7	HLA-B; Blood
57292-5	HLA-B57*01; Blood
57293-3	HLA-DRB1; Blood
57294-1	HLA-DRB3; Blood
57295-8	HLA-DRB4; Blood
57296-6	HLA-DRB5; Blood
57297-4	HLA-C W; Blood
57298-2	HLA-DRB1; Blood
5729-9	Silicate
57299-0	HLA-DQB1; Blood
57300-6	6-Monoacetylmorphine; Saliva
57301-4	Benzoylecgonine; Saliva
57302-2	Temazepam; Saliva
57303-0	7-Aminonitrazepam; Saliva
57304-8	Codeine; Saliva
57305-5	Tropomyosin IgE
5730-7	Silicate; Tissue Unspecified
57308-9	CYP11B1 gene mutation analysis; Blood/Tissue
57309-7	PRNP gene mutation analysis; Blood/Tissue
57310-5	SRY gene mutation analysis; Blood/Tissue
57311-3	CYP11B1 gene mutations tested for; Blood/Tissue
57312-1	PRNP gene mutations tested for; Blood/Tissue
57313-9	Pyrazole IgE
57314-7	SRY gene mutations tested for; Blood/Tissue
5731-5	Silicate; Urine
57315-4	Sulphamide IgE
57316-2	Tropomyosin IgE
57317-0	Chromosome 13+18+21+X+Y aneuploidy; Amniotic Fluid
57318-8	Chromosome 13+18+21+X+Y aneuploidy; Blood/Tissue
57320-4	Trypanosoma cruzi antibody
57321-2	Herpes simplex virus 2 antibody IgG 2nd specimen
57322-0	Varicella zoster virus antibody IgM 1st specimen
5732-3	Silver; Blood
57323-8	Varicella zoster virus antibody IgM 2nd specimen
57324-6	Influenza virus A antibody IgG 1st specimen
57325-3	Influenza virus A antibody IgG 2nd specimen
57326-1	Influenza virus A antibody IgM 1st specimen
57327-9	Influenza virus A antibody IgM 2nd specimen
57328-7	Influenza virus B antibody IgM 1st specimen
57329-5	Influenza virus B antibody IgM 2nd specimen
57330-3	Corticotropin 40m post XXX challenge; Plasma
5733-1	Silver; Hair
57332-9	Urate; Urine
57333-7	Calcium ionized  adjusted to pH 7 4
57334-5	Calcium; Urine
57335-2	Calcium; Urine
57336-0	Beta hydroxybutyrate 1h post XXX challenge
57337-8	Citrate; Urine
57338-6	Citrate; Urine
57339-4	Citrate; Urine
57340-2	Chloride; Urine
57341-0	Chloride; Urine
57342-8	Chloride; Urine
57344-4	Creatinine; Urine
57345-1	Creatinine overnight; Dialysisysis Fluid, Peritonial
57346-9	Creatinine; Urine
57347-7	Copper; Dialysisysis Fluid
57348-5	Phosphate; Urine
5734-9	Silver
57349-3	Phosphate; Urine
57350-1	Glucose 1m post XXX challenge
57353-5	Insulin 5m post XXX challenge
57355-0	Potassium; Urine
5735-6	Silver; Urine
57356-8	Lactate 1m post XXX challenge
57357-6	Lactate 10m post XXX challenge
57358-4	Lactate 2h post XXX challenge
57359-2	Lactate 3h post XXX challenge
573-6	Culture
57360-0	Lactate 20m post XXX challenge
57361-8	Lactate 3m post XXX challenge
57362-6	Lactate 30m post XXX challenge
57363-4	Lactate 5m post XXX challenge
5736-4	Strontium
57364-2	Lactate 1h post XXX challenge
57365-9	Lactate 1.5h post XXX challenge
57367-5	Magnesium; Urine
57368-3	Magnesium; Urine
57369-1	Albumin; Urine
57370-9	Sodium; Urine
57371-7	Enolase neuron specific
5737-2	Strychnine
57372-5	Osmolality; Urine
57373-3	Oxalate; Urine
57374-1	Oxalate; Urine
57375-8	Oxalate; Urine
57376-6	C peptide baseline
57377-4	Pyruvate 5m post XXX challenge; Blood
57378-2	Porphyrins/Creatinine; Urine
57379-0	Potassium; Urine
5738-0	Strychnine
57380-8	Potassium; Urine
57382-4	Sodium; Urine
57383-2	Tipranavir
57385-7	Urea; Urine
57386-5	Urate; Urine
57387-3	Urate; Urine
57388-1	Urea; Dialysis Fluid, Peritonial
57389-9	Urea; Urine
57391-5	Eosinophils/100 leukocytes; Synovial Fluid
57392-3	Urea; Body Fluid
57393-1	Cells CD11a/100 cells; Body Fluid
57394-9	Cells CD19+CD34+/100 cells; Body Fluid
57395-6	Cells CD19+CD38+/100 cells; Body Fluid
57396-4	Cells CD19+CD56+/100 cells; Body Fluid
57397-2	Cells CD19+CD20+/100 cells; Body Fluid
5739-8	Strychnine; Urine
57398-0	Cells CD22+CD19+/100 cells; Body Fluid
57399-8	Cells CD19+CD23+/100 cells; Body Fluid
57400-4	Cells CD34/100 cells; Bone marrow
57401-2	Cells CD4+CD8+/100 cells; Body Fluid
57402-0	Cells CD42a/100 cells; Body Fluid
57403-8	Cells CD45RA/100 cells; Body Fluid
57404-6	Cells CD45RO/100 cells; Body Fluid
57405-3	Cells CD8+CD56+/100 cells; Body Fluid
5740-6	Strychnine; Urine
57406-1	Cells CD8+CD57+/100 cells; Body Fluid
57407-9	Cells CD8+CD45RA+/100 cells; Body Fluid
57408-7	Cells CD8+CD45RO+/100 cells; Body Fluid
57409-5	Cells CD3+TCR alpha beta+/100 cells; Body Fluid
57410-3	Actin.filamentous Ab
57411-1	Desmoglein 1 antibody
57412-9	Desmoglein 3 antibody
57413-7	Mitochondria antibody
5741-4	Strychnine; 24h Urine
57414-5	Reticulin antibody
57415-2	Saccharomyces cerevisiae IgA
57416-0	Thyrotropin receptor antibody
57417-8	Cells CD18/100 cells; Body Fluid
57418-6	Cells CD20/100 cells; Body Fluid
57419-4	Cells CD21/100 cells; Body Fluid
57420-2	Cells CD27/100 cells; Body Fluid
57421-0	Cells CD34/100 cells; Body Fluid
5742-2	Tellurium; Urine
57422-8	Cells CD40/100 cells; Body Fluid
57423-6	Cells CD5/100 cells; Body Fluid
57424-4	Cells CD56/100 cells; Body Fluid
57425-1	Cells CD7/100 cells; Body Fluid
57426-9	Cells CD71/100 cells; Body Fluid
57427-7	Cells CD10+FMC7+/100 cells; Body Fluid
57428-5	Cells FMC7/100 cells; Body Fluid
57429-3	Cells CD3+TCR gamma delta+/100 cells; Body Fluid
5743-0	Thallium; Blood
57430-1	Cells CD235a/100 cells; Body Fluid
57431-9	Extractable nuclear antibody
57432-7	Cells CD19+Kappa+/100 cells; Body Fluid
57433-5	Cells CD19+Lambda+/100 cells; Body Fluid
57434-3	Liver kidney microsomal 1 antibody
57435-0	Cells myeloperoxidase; Body Fluid
57436-8	Muscle specific receptor tyrosine kinase antibody
57437-6	Cells CD56+CD138+/100 cells; Body Fluid
57438-4	Cells CD56-CD138+/100 cells; Body Fluid
57439-2	Cells terminal deoxyribonucleotidyl transferase; Body Fluid
574-4	Culture
57440-0	Platelet antibody
57441-8	Toxoplasma gondii DNA
57442-6	Specimen volume post concentration; Semen
57443-4	Spermatozoa - progressive grade 3/100 spermatozoa post concentration; Semen
57444-2	Spermatozoa - progressive grade 2/100 spermatozoa post concentration; Semen
57445-9	Spermatozoa - progressive grade 1/100 spermatozoa post concentration; Semen
57446-7	Spermatozoa - immotile/100 spermatozoa post concentration; Semen
57447-5	Nuclear antibody; Synovial Fluid
5744-8	Thallium
57448-3	Nuclear antibody pattern; Synovial Fluid
57449-1	Tubular basement membrane antibody
57450-9	Soluble liver antibody
57451-7	CV2 antibody; CSF
